Filename,True_Species,Top_Predicted_Species,Top_Prediction_Confidence,Top_Predictions_JSON,Is_Prediction_Correct?,Split,Score_Original,Score_Source0,Score_Source1,Ensemble_Score,Did_Separation_Help?,Score_Source2,Score_Source3,Score_Source4,Run_ID
XC1046832 - House Crow - Corvus splendens,Unknown Bird,Corvus splendens,0.997199296951294,"[{""species"": ""Corvus splendens"", ""confidence"": 0.997199296951294}]",No,test,0.0,0.0,,0.0,No,,,,
XC414667 - Soundscape,Unknown Bird,Mixornis gularis,0.9527897834777832,"[{""species"": ""Mixornis gularis"", ""confidence"": 0.9527897834777832}, {""species"": ""Copsychus malabaricus"", ""confidence"": 0.8592604398727417}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC414667 - Soundscape,Unknown Bird,Mixornis gularis,0.9835600852966307,"[{""species"": ""Mixornis gularis"", ""confidence"": 0.9835600852966309}, {""species"": ""Copsychus malabaricus"", ""confidence"": 0.8619371056556702}, {""species"": ""Corvus monedula"", ""confidence"": 0.8573131561279297}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,
XC414667 - Soundscape,Unknown Bird,Mixornis gularis,0.8884559869766235,"[{""species"": ""Mixornis gularis"", ""confidence"": 0.8884559869766235}, {""species"": ""Copsychus malabaricus"", ""confidence"": 0.8264066576957703}, {""species"": ""Corvus monedula"", ""confidence"": 0.8764073848724365}, {""species"": ""Gallus sonneratii"", ""confidence"": 0.35326528549194336}, {""species"": ""Power tools"", ""confidence"": 0.4245806336402893}]",No,test,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,
XC1092252 - House Sparrow - Passer domesticus,Unknown Bird,Passer domesticus,0.4056576788425445,"[{""species"": ""Passer domesticus"", ""confidence"": 0.40565767884254456}, {""species"": ""Luscinia svecica"", ""confidence"": 0.6848004460334778}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC1092252 - House Sparrow - Passer domesticus,Unknown Bird,Sturnus vulgaris,0.0669823288917541,"[{""species"": ""Sturnus vulgaris"", ""confidence"": 0.06698232889175415}]",No,test,0.0,0.0,,0.0,No,,,,
XC1089317 - House Sparrow - Passer domesticus,Unknown Bird,Passer domesticus,0.7560373544692993,"[{""species"": ""Passer domesticus"", ""confidence"": 0.7560373544692993}]",No,test,0.0,0.0,,0.0,No,,,,
XC565806 - Soundscape,Unknown Bird,Lyrurus tetrix,0.7957718372344971,"[{""species"": ""Lyrurus tetrix"", ""confidence"": 0.7957718372344971}, {""species"": ""Gavia arctica"", ""confidence"": 0.965309739112854}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC441581 - Red-vented Bulbul - Pycnonotus cafer humayuni,Unknown Bird,Pycnonotus cafer,0.9470343589782716,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9470343589782715}]",No,test,0.0,0.0,,0.0,No,,,,d1030eaa-5672-4d6d-bcff-2379c586838c
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Phylloscopus humei,0.9950018525123596,"[{""species"": ""Phylloscopus humei"", ""confidence"": 0.9950018525123596}]",No,test,0.0,0.0,,0.0,No,,,,dd5534aa-eb6a-4b5d-8584-3187b92d6a78
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Pycnonotus cafer,0.926163375377655,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.926163375377655}, {""species"": ""Phylloscopus humei"", ""confidence"": 0.9993895292282104}]",No,test,0.0,0.0,0.0,0.0,No,,,,55766ba2-98c2-4653-b59b-a3a3b5171b87
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Phylloscopus humei,0.9950018525123596,"[{""species"": ""Phylloscopus humei"", ""confidence"": 0.9950018525123596}]",No,test,0.0,0.0,,0.0,No,,,,f3758909-f3d4-4583-89f7-12f1434584a1
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Pycnonotus cafer,0.9575127363204956,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9575127363204956}, {""species"": ""Phylloscopus humei"", ""confidence"": 0.9992808699607849}, {""species"": ""Acrocephalus australis"", ""confidence"": 0.515570878982544}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,5775fab4-a4b9-418a-95bd-8841e21f08e3
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Pycnonotus cafer,0.926163375377655,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.926163375377655}, {""species"": ""Phylloscopus humei"", ""confidence"": 0.9993895292282104}]",No,test,0.0,0.0,0.0,0.0,No,,,,c44fdab1-5cbc-4a97-9e0e-b637ab7f3ff0
XC441581 - Red-vented Bulbul - Pycnonotus cafer humayuni,Unknown Bird,Pycnonotus cafer,0.9470343589782716,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9470343589782715}]",No,test,0.0,0.0,,0.0,No,,,,7b6e567c-cbca-45dc-93c8-200ef7718025
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.9990513920783995,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9990513920783997}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.735271155834198}]",No,test,0.0,0.0,0.0,0.0,No,,,,1e3db218-d8f6-4463-b8d4-76f2b1eb7ed9
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.9990513920783995,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9990513920783997}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.5932276248931885}, {""species"": ""Charadrius dubius"", ""confidence"": 0.5458692312240601}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,a15343a0-2639-41d4-a9e0-e8da936c1777
XC463832 - Ashy Drongo - Dicrurus leucophaeus,Unknown Bird,Psilopogon franklinii,0.99368554353714,"[{""species"": ""Psilopogon franklinii"", ""confidence"": 0.9936855435371399}, {""species"": ""Hypsipetes leucocephalus"", ""confidence"": 0.8367284536361694}, {""species"": ""Dicrurus leucophaeus"", ""confidence"": 0.44084733724594116}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,28db4ef7-67a0-417f-a5a0-7bfb5268e790
XC414667 - Soundscape,Unknown Bird,Copsychus malabaricus,0.971769630908966,"[{""species"": ""Copsychus malabaricus"", ""confidence"": 0.9717696309089661}, {""species"": ""Mixornis gularis"", ""confidence"": 0.9893089532852173}]",No,test,0.0,0.0,0.0,0.0,No,,,,9fa45d35-9f32-4619-b06b-9415f7710afd
XC463832 - Ashy Drongo - Dicrurus leucophaeus,Unknown Bird,Psilopogon franklinii,0.989540159702301,"[{""species"": ""Psilopogon franklinii"", ""confidence"": 0.989540159702301}, {""species"": ""Dicrurus leucophaeus"", ""confidence"": 0.44084733724594116}]",No,test,0.0,0.0,0.0,0.0,No,,,,203e0c07-1c9a-4222-b3f4-cf1afffe11ac
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.9990513920783995,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9990513920783997}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.735271155834198}]",No,test,0.0,0.0,0.0,0.0,No,,,,6f25e993-93e8-48ec-bdf5-8efced317909
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.9990513920783995,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9990513920783997}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.5932276248931885}, {""species"": ""Loxia pytyopsittacus"", ""confidence"": 0.9096978902816772}, {""species"": ""Charadrius dubius"", ""confidence"": 0.3984370827674866}]",No,test,0.0,0.0,0.0,0.0,No,0.0,0.0,,24617178-df26-463f-a6f0-34cd8a1b8e5c
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.9990513920783995,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9990513920783997}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.5932276248931885}, {""species"": ""Loxia pytyopsittacus"", ""confidence"": 0.9096978902816772}, {""species"": ""Charadrius dubius"", ""confidence"": 0.3984370827674866}]",No,test,0.0,0.0,0.0,0.0,No,0.0,0.0,,a2a5aced-50e8-4fbc-b38b-8358414f1849
XC565806 - Soundscape,Unknown Bird,Lyrurus tetrix,0.8766657114028931,"[{""species"": ""Lyrurus tetrix"", ""confidence"": 0.8766657114028931}, {""species"": ""Gavia arctica"", ""confidence"": 0.965309739112854}, {""species"": ""Centropus superciliosus"", ""confidence"": 0.6649945378303528}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,95118af9-b841-45a3-8ff9-a2a6a3331920
XC306692 - Rock Dove - Columba livia,Unknown Bird,Columba livia,0.9349225759506226,"[{""species"": ""Columba livia"", ""confidence"": 0.9349225759506226}]",No,test,0.0,0.0,,0.0,No,,,,438b7db3-cd11-42fd-b9a7-cf9024d73326
XC1046832 - House Crow - Corvus splendens,Unknown Bird,Corvus splendens,0.9987183809280396,"[{""species"": ""Corvus splendens"", ""confidence"": 0.9987183809280396}]",No,test,0.0,0.0,,0.0,No,,,,b90bf0bf-3225-465e-ba8a-4386e62cf47d
XC1064556 - Rose-ringed Parakeet - Psittacula krameri,Unknown Bird,Psittacula krameri,0.627676248550415,"[{""species"": ""Psittacula krameri"", ""confidence"": 0.627676248550415}]",No,test,0.0,0.0,,0.0,No,,,,618ab35a-3027-4dbb-8378-e3b8661cd122
XC1077498 - Red-vented Bulbul - Pycnonotus cafer,Unknown Bird,Phylloscopus humei,0.9950018525123596,"[{""species"": ""Phylloscopus humei"", ""confidence"": 0.9950018525123596}]",No,test,0.0,0.0,,0.0,No,,,,1a44d349-a876-46d8-87b8-74678923183e
XC441581 - Red-vented Bulbul - Pycnonotus cafer humayuni,Unknown Bird,Pycnonotus cafer,0.9470343589782716,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9470343589782715}]",No,test,0.0,0.0,,0.0,No,,,,3ce5f572-2488-435d-8f2c-60cca1c2a08d
XC441581 - Red-vented Bulbul - Pycnonotus cafer humayuni,Unknown Bird,Pycnonotus cafer,0.938338339328766,"[{""species"": ""Pycnonotus cafer"", ""confidence"": 0.9383383393287659}, {""species"": ""Pyrrhula pyrrhula"", ""confidence"": 0.5412983894348145}]",No,test,0.0,0.0,0.0,0.0,No,,,,49c4edbd-192d-4788-b9ea-5e73fa482be8
XC1078104 - White-throated Kingfisher - Halcyon smyrnensis perpulchra,Unknown Bird,Halcyon smyrnensis,0.9999845027923584,"[{""species"": ""Halcyon smyrnensis"", ""confidence"": 0.9999845027923584}, {""species"": ""Dicrurus macrocercus"", ""confidence"": 0.18023449182510376}]",No,test,0.0,0.0,0.0,0.0,No,,,,a8281382-7895-47b2-863d-1c5e04594372
XC1078104 - White-throated Kingfisher - Halcyon smyrnensis perpulchra,Unknown Bird,Halcyon smyrnensis,0.9999206066131592,"[{""species"": ""Halcyon smyrnensis"", ""confidence"": 0.9999206066131592}]",No,test,0.0,0.0,,0.0,No,,,,21fbdbbb-00a2-47e7-9242-2552d42b832b
XC1004128 - Indian Peafowl - Pavo cristatus,Unknown Bird,Pavo cristatus,0.92928147315979,"[{""species"": ""Pavo cristatus"", ""confidence"": 0.92928147315979}]",No,test,0.0,0.0,,0.0,No,,,,892c0e86-1884-46b4-aec9-1db2a6eab38c
XC1004128 - Indian Peafowl - Pavo cristatus,Unknown Bird,Pavo cristatus,0.92928147315979,"[{""species"": ""Pavo cristatus"", ""confidence"": 0.92928147315979}]",No,test,0.0,0.0,,0.0,No,,,,5a872e50-3810-4d8a-8035-da4da76f547b
XC1004128 - Indian Peafowl - Pavo cristatus,Unknown Bird,Pavo cristatus,0.92928147315979,"[{""species"": ""Pavo cristatus"", ""confidence"": 0.92928147315979}]",No,test,0.0,0.0,,0.0,No,,,,bfa02ea9-ad24-4cec-97c8-f18204846ba0
XC1004128 - Indian Peafowl - Pavo cristatus,Unknown Bird,Pavo cristatus,0.92928147315979,"[{""species"": ""Pavo cristatus"", ""confidence"": 0.92928147315979}]",No,test,0.0,0.0,,0.0,No,,,,610d1e06-d945-4dd9-8e21-0d5621ea484f
XC737076 - Common Myna - Acridotheres tristis tristis,Unknown Bird,Acridotheres tristis,0.8471059203147888,"[{""species"": ""Acridotheres tristis"", ""confidence"": 0.8471059203147888}]",No,test,0.0,0.0,,0.0,No,,,,e8cfd7e7-fda6-4645-8ee2-e593b849e536
XC737076 - Common Myna - Acridotheres tristis tristis,Unknown Bird,Acridotheres tristis,0.8637145161628723,"[{""species"": ""Acridotheres tristis"", ""confidence"": 0.8637145161628723}, {""species"": ""Corvus monedula"", ""confidence"": 0.9687801003456116}]",No,test,0.0,0.0,0.0,0.0,No,,,,349df016-46f4-43c3-b25a-c2416a447b83
XC737076 - Common Myna - Acridotheres tristis tristis,Unknown Bird,Acridotheres tristis,0.8637145161628723,"[{""species"": ""Acridotheres tristis"", ""confidence"": 0.8637145161628723}, {""species"": ""Corvus monedula"", ""confidence"": 0.9687801003456116}]",No,test,0.0,0.0,0.0,0.0,No,,,,aaa067e1-5e7b-4e17-9eec-4e49fb4de6fb
XC197855 - Great Hornbill - Buceros bicornis,Unknown Bird,Buceros bicornis,0.3208334743976593,"[{""species"": ""Buceros bicornis"", ""confidence"": 0.3208334743976593}]",No,test,0.0,0.0,,0.0,No,,,,b90538aa-9504-4afd-8e4c-59ab2f42c085
XC197855 - Great Hornbill - Buceros bicornis,Unknown Bird,Buceros bicornis,0.3208334743976593,"[{""species"": ""Buceros bicornis"", ""confidence"": 0.3208334743976593}]",No,test,0.0,0.0,,0.0,No,,,,17d981fe-f85b-4a05-ac20-32b5a5059dc9
XC414667 - Soundscape,Unknown Bird,Copsychus malabaricus,0.971769630908966,"[{""species"": ""Copsychus malabaricus"", ""confidence"": 0.9717696309089661}, {""species"": ""Mixornis gularis"", ""confidence"": 0.9893089532852173}]",No,test,0.0,0.0,0.0,0.0,No,,,,263f3701-36eb-4a3b-b42a-6bf9c3d7825c
XC414667 - Soundscape,Unknown Bird,Copsychus malabaricus,0.971769630908966,"[{""species"": ""Copsychus malabaricus"", ""confidence"": 0.9717696309089661}, {""species"": ""Mixornis gularis"", ""confidence"": 0.9893089532852173}]",No,test,0.0,0.0,0.0,0.0,No,,,,627c1401-714d-43e7-89b9-3def43524cdc
XC414667 - Soundscape,Unknown Bird,Copsychus malabaricus,0.971769630908966,"[{""species"": ""Copsychus malabaricus"", ""confidence"": 0.9717696309089661}, {""species"": ""Mixornis gularis"", ""confidence"": 0.9893089532852173}]",No,test,0.0,0.0,0.0,0.0,No,,,,06a5afd8-66fc-4d61-be61-de710a852d09
XC565806 - Soundscape,Unknown Bird,Lyrurus tetrix,0.7957718372344971,"[{""species"": ""Lyrurus tetrix"", ""confidence"": 0.7957718372344971}, {""species"": ""Gavia arctica"", ""confidence"": 0.965309739112854}]",No,test,0.0,0.0,0.0,0.0,No,,,,4f30024a-2598-4f87-99b0-891ecef2aa9d
XC565806 - Soundscape,Unknown Bird,Lyrurus tetrix,0.7073495984077454,"[{""species"": ""Lyrurus tetrix"", ""confidence"": 0.7073495984077454}]",No,test,0.0,0.0,,0.0,No,,,,014a8560-e58b-49af-b98f-e7e684530133
XC565806 - Soundscape,Unknown Bird,Lyrurus tetrix,0.7073495984077454,"[{""species"": ""Lyrurus tetrix"", ""confidence"": 0.7073495984077454}]",No,test,0.0,0.0,,0.0,No,,,,85be4950-eb51-4069-9b16-94fbfd20452b
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.9990513920783995,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9990513920783997}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.735271155834198}]",No,test,0.0,0.0,0.0,0.0,No,,,,6ae64f94-6ed5-41e1-865d-0b6db34d493f
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.9990513920783995,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9990513920783997}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.5932276248931885}, {""species"": ""Charadrius dubius"", ""confidence"": 0.5458692312240601}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,d0651d6f-33ba-4b6b-b635-189775d467ab
XC463832 - Ashy Drongo - Dicrurus leucophaeus,Unknown Bird,Psilopogon franklinii,0.99368554353714,"[{""species"": ""Psilopogon franklinii"", ""confidence"": 0.9936855435371399}, {""species"": ""Hypsipetes leucocephalus"", ""confidence"": 0.8367284536361694}, {""species"": ""Dicrurus leucophaeus"", ""confidence"": 0.44084733724594116}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,e1c2e149-5d6f-448a-8956-6a06dee93cee
XC463832 - Ashy Drongo - Dicrurus leucophaeus,Unknown Bird,Psilopogon franklinii,0.99368554353714,"[{""species"": ""Psilopogon franklinii"", ""confidence"": 0.9936855435371399}, {""species"": ""Hypsipetes leucocephalus"", ""confidence"": 0.8367284536361694}, {""species"": ""Dicrurus leucophaeus"", ""confidence"": 0.44084733724594116}]",No,test,0.0,0.0,0.0,0.0,No,0.0,,,ccacbc3c-e363-466d-ac4f-5c0c27b4913e
XC463832 - Ashy Drongo - Dicrurus leucophaeus,Unknown Bird,Psilopogon franklinii,0.9954067468643188,"[{""species"": ""Psilopogon franklinii"", ""confidence"": 0.9954067468643188}, {""species"": ""Rallus limicola"", ""confidence"": 0.507257878780365}, {""species"": ""Dicrurus leucophaeus"", ""confidence"": 0.44084733724594116}, {""species"": ""Strix leptogrammica"", ""confidence"": 0.41837993264198303}, {""species"": ""Acrocephalus arundinaceus"", ""confidence"": 0.42335131764411926}]",No,test,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,455c5dbd-0509-465c-b540-572e08b6d01f
